colonia_geo,alcaldia_geo,n_listings,precio_promedio,ingreso_anual_promedio,ocupacion_promedio,dist_transporte_promedio,tasa_crimen,reviews_promedio,score_precio,score_ocupacion,score_seguridad,score_transporte,score_total
ampliacion aviacion civil,venustiano carranza,39,917.74358974359,114115.461538462,0.370776255707763,0.0868775486311143,0.000131639570854999,37.4358974358974,-0.0858004282272052,0.386695235155801,0.425843765239416,0.557148650349229,0.286866925196308
independencia san ramon,la magdalena contreras,5,940.2,140873.4,0.506849315068493,0.427553743287709,0.000131639570854999,15,-0.0404399817919558,1.48937658848255,0.425843765239416,-1.18115340786417,0.283619053482228
la joyita,gustavo a madero,9,998.333333333333,121668.555555556,0.369558599695586,0.131340227984772,0.000197459356282499,53.8888888888889,0.0769854625537821,0.376827840495159,0.397444294216136,0.330277597289433,0.281688369215796
la joya,tlalpan,7,761.571428571429,111442.571428571,0.414090019569472,0.0943714968514421,0.000263279141709998,56,-0.401257746233086,0.737692559512925,0.369044823192856,0.518910740510323,0.278521556724587
pedregal de carrasco,coyoacan,6,753,107353.833333333,0.434703196347032,0.150358171738001,0.000131639570854999,43.5,-0.418571458538323,0.904733454839508,0.425843765239416,0.233238440202016,0.277665039978642
insurgentes mixcoac,benito juarez,15,1059.8,138449.4,0.374794520547945,0.0854540322234821,0.00138221549397749,43.6,0.201144017240445,0.41925763753592,-0.113746184202902,0.564412150235923,0.276253689639514
chimalistac,alvaro obregon,13,1156.76923076923,108785.615384615,0.3536354056902,0.185638505781313,0.000329098927137498,23.0769230769231,0.39701537637361,0.247792679548301,0.340645352169576,0.0532203519297661,0.272215557596442
pueblo quieto,tlalpan,5,771,200472.6,0.461369863013699,0.230699925763741,0.000263279141709998,17.6,-0.382212662697326,1.12082939790757,0.369044823192856,-0.176705778307865,0.260052829540071
zedec santa fe,alvaro obregon,32,1483.46875,165207.09375,0.295291095890411,0.14810840046678,0.00157967485025999,27.4375,1.05692654976602,-0.22500614478322,-0.198944597272742,0.244717909835094,0.25873078400731
xoco,benito juarez,32,1333.65625,165426.90625,0.335616438356164,0.169608067901654,0.00144803527940499,34.53125,0.754315321881056,0.101774214329762,-0.142145655226182,0.1350157447319,0.255400878764389
hacienda san juan,tlalpan,7,567.714285714286,110019.857142857,0.51545988258317,0.261312171357863,6.58197854274995e-05,52.5714285714286,-0.792836206203187,1.55915316501138,0.454243236262695,-0.332904920946629,0.25416275070567
olivar de los padres,alvaro obregon,12,1262.25,211517.75,0.300456621004566,0.094995348426616,0.000855657210557494,29.75,0.610079473796546,-0.183146806496277,0.113449583983337,0.515727534597631,0.253915223906274
pilares aguilas,alvaro obregon,10,1153.6,150734.7,0.327945205479452,0.156418434414037,0.000197459356282499,49.3,0.390613742234084,0.0396096279677167,0.397444294216136,0.202315918322595,0.249019053568286
roma sur,cuauhtemoc,450,1356.83111111111,161490.091111111,0.352700152207002,0.163818658901772,0.00223787270453498,51.2777777777778,0.801126990980075,0.24021376141857,-0.482939307505538,0.164556234317558,0.248725611081997
gabriel ramos millan seccion bramadero,iztacalco,20,959.85,160536.95,0.443424657534247,0.161641247677075,0.00204041334825248,53.3,-0.000748296332200978,0.975408669096357,-0.397740894435698,0.175666486436241,0.247983230229355
cuchilla agricola oriental,iztacalco,31,895.032258064516,118097.870967742,0.386743261157755,0.127930618000796,0.000394918712564997,66.3225806451613,-0.131675798882572,0.516085426431639,0.312245881146296,0.347675149997293,0.247307094493438
tabacalera,cuauhtemoc,731,1336.24213406293,173002.316005472,0.354050559376347,0.0832106246560697,0.00322516948594748,65.8002735978112,0.759538634698415,0.251156918073028,-0.908931372854739,0.575859149037162,0.236594221067917
el jaguey,azcapotzalco,5,965.4,140021.6,0.361095890410959,0.142447205606153,0.000131639570854999,99.6,0.0104623323854396,0.308249447603697,0.425843765239416,0.273604186107184,0.235503124266061
lomas de sotelo i,miguel hidalgo,5,972.6,230401,0.446027397260274,0.340165538458369,0.000263279141709998,12.4,0.0250058507218384,0.996500225183479,0.369044823192856,-0.735254637415766,0.233209859927013
cultura maya,tlalpan,6,437.166666666667,75465.8333333333,0.467123287671233,0.0835174477682177,0.000197459356282499,1.16666666666667,-1.056533663341,1.1674528376791,0.397444294216136,0.574293582508829,0.227623327646424
albert,benito juarez,8,671,105556.5,0.477397260273973,0.222484003417033,0.000526558283419996,25,-0.584205972925086,1.25070898012827,0.255446939099737,-0.134783991727502,0.224083491635402
veronica anzures,miguel hidalgo,169,1342.65088757396,129087.887573965,0.265688579071087,0.138627782289742,0.000329098927137498,42.8579881656805,0.772483888059696,-0.464893036880468,0.340645352169576,0.293092813478984,0.219024888483481
atlamaya,alvaro obregon,9,962.555555555556,85684.4444444444,0.338812785388128,0.101031157242116,0.000263279141709998,50.5555555555556,0.00471674489451668,0.127676125313947,0.369044823192856,0.484929788669001,0.210512783434911
josefa ortiz de dominguez,benito juarez,5,636.8,91114.6,0.404931506849315,0.072627641243188,0.000197459356282499,59,-0.65328768502298,0.66347565538681,0.397444294216136,0.629858877040448,0.208517025360466
