alcaldia_clean,colonia_clean,genero_delito_de_bajo_impacto_tasa,genero_violación_tasa,genero_homicidio_doloso_tasa,genero_lesiones_dolosas_por_disparo_de_arma_de_fuego_tasa,genero_secuestro_tasa,genero_total_tasa
alvaro obregon,las aguilas (aob-3),0.000703700637469989,0.00102040816326531,0,0,0,0.000711518697130208
alvaro obregon,las aguilas 1a seccion,0.000372547396307641,0,0.0101010101010101,0,0,0.000395288165072338
alvaro obregon,las aguilas 2o parque,0,0.00102040816326531,0,0,0,3.95288165072338e-05
alvaro obregon,las aguilas 3er parque,0.000248364930871761,0,0,0,0,0.000237172899043403
alvaro obregon,las aguilas seccion hornos,0.000248364930871761,0,0,0,0,0.000237172899043403
alvaro obregon,las americas,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,las palmas,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,liberacion proletaria,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,liberales de 1857,0.000620912327179402,0.00204081632653061,0,0,0,0.000671989880622974
alvaro obregon,llano redondo,0.000165576620581174,0,0,0,0,0.000158115266028935
alvaro obregon,lomas axomiatla,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,lomas de becerra,0.00144879543008527,0,0,0,0,0.00138350857775318
alvaro obregon,lomas de capula,0.000413941551452935,0,0,0,0,0.000395288165072338
alvaro obregon,lomas de chamontoya,0.000620912327179402,0,0,0.0181818181818182,0,0.00063246106411574
alvaro obregon,lomas de guadalupe,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,lomas de la era,0.00149018958523057,0.00408163265306122,0,0,0,0.00158115266028935
alvaro obregon,lomas de las aguilas,8.2788310290587e-05,0.00102040816326531,0,0,0,0.000118586449521701
alvaro obregon,lomas de los angeles del pueblo tetelpan,0.000496729861743522,0,0,0,0,0.000474345798086805
alvaro obregon,lomas de los cedros,0.000372547396307641,0,0,0,0,0.000355759348565104
alvaro obregon,lomas de plateros,0.00136600711979469,0.00408163265306122,0,0,0,0.00146256621076765
alvaro obregon,lomas de puerta grande,0.000165576620581174,0.00102040816326531,0,0,0,0.000197644082536169
alvaro obregon,lomas de san angel inn,0.000372547396307641,0,0,0,0,0.000355759348565104
alvaro obregon,lomas de santo domingo,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,lomas de tarango,0.000372547396307641,0,0,0,0,0.000355759348565104
alvaro obregon,lomas del capulin,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,loreto,0.000206970775726467,0.00204081632653061,0,0,0,0.000276701715550636
alvaro obregon,los alpes,0.000289759086017054,0,0,0,0,0.000276701715550636
alvaro obregon,los cedros,0.000413941551452935,0,0,0,0,0.000395288165072338
alvaro obregon,los gamitos,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,margarita maza de juarez,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,maria g de garcia ruiz,0.000662306482324696,0,0.0101010101010101,0,0,0.000671989880622974
alvaro obregon,merced gomez,0.000869277258051163,0,0,0,0,0.000830105146651909
alvaro obregon,miguel gaona armenta,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,miguel hidalgo,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,mina los coyotes,0.000289759086017054,0,0.0101010101010101,0,0,0.00031623053205787
alvaro obregon,minas cristo rey,0.000289759086017054,0,0,0,0,0.000276701715550636
alvaro obregon,mixcoac,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,molino de rosas,0.000165576620581174,0,0,0,0,0.000158115266028935
alvaro obregon,molino de santo domingo,0.000496729861743522,0,0,0,0,0.000474345798086805
alvaro obregon,ocotillos del pueblo tetelpan,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,olivar de los padres,0.000620912327179402,0,0,0,0,0.000592932247608507
alvaro obregon,olivar del conde 1a seccion,0.00198691944697409,0,0,0,0,0.00189738319234722
alvaro obregon,olivar del conde 2a seccion,0.00161437205066645,0,0,0,0,0.00154162384378212
alvaro obregon,palmas,0.000413941551452935,0,0,0,0,0.000395288165072338
