ID,ID_CI,ct_inicio,impacto,delito,modalidad_delito,fecha,calle1_hechos,calle2_hechos,colonia_hechos,alcaldia_hechos,ct_hechos,cord_x,cord_y,
12646,9966959,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,PUERTO TAMPICO LOCAL 135 MERCADO CASAS ALEMAN,NO SE ESPECIFICA,AMPLIACIÓN CASAS ALEMÁN,GUSTAVO A MADERO,GAM-5,-99.08225098,19.48021171,
12647,9966970,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,11/05/2025,CONSTANCIA,NO SE ESPECIFICA,MORELOS,CUAUHTEMOC,CUH-3,-99.12844251,19.44870301,
12648,9966972,CJM-AZ,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,PROSPERIDAD,NO SE ESPECIFICA,ESCANDÓN I SECCIÓN,MIGUEL HIDALGO,MH-5,-99.17532392,19.40474797,
12649,9966973,FDS-6,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,10/05/2025,PUERTO TAMPICO,NO SE ESPECIFICA,AMPLIACIÓN CASAS ALEMÁN,GUSTAVO A MADERO,GAM-5,-99.0879429,19.4765732,
12650,9966977,D,ALTO IMPACTO,HOMICIDIO DOLOSO,FEMINICIDIO POR ARMA BLANCA,11/05/2025,CUARTA FERNANDO MONTES DE OCA,FERNANDO MONTES DE OCA,SANTO TOMAS AJUSCO,TLALPAN,TLP-2,-99.20304991,19.21497065,
12651,9966984,COY-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,11/05/2025,NAHUATLACAS,NO SE ESPECIFICA,AMPLIACION LA CANDELARIA,COYOACAN,COY-4,-99.14857254,19.32886675,
12652,9966986,UAT-AO-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,23/03/2025,SAN MARCOS,NO SE ESPECIFICA,MOLINO DE SANTO DOMINGO,ALVARO OBREGON,AO-1,-99.20896985,19.39339818,
12653,9966992,UAT-TLH-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,LESIONES INTENCIONALES,10/05/2025,SIN REGISTRO,NO SE ESPECIFICA,SIN REGISTRO,SIN REGISTRO,CDMX-0,SIN REGISTRO,SIN REGISTRO,
12654,9966993,UAT-IZC-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,11/05/2025,ORIENTE 239 A,SIN REGISTRO,AGRÍCOLA ORIENTAL,IZTACALCO,IZC-3,-99.0777121,19.39007934,
12655,9967005,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,11/05/2025,GENERAL RIQUELME,NO SE ESPECIFICA,7 DE NOVIEMBRE,GUSTAVO A MADERO,GAM-6,-99.12460106,19.46060317,
