ID,ID_CI,ct_inicio,impacto,delito,modalidad_delito,fecha,calle1_hechos,calle2_hechos,colonia_hechos,alcaldia_hechos,ct_hechos,cord_x,cord_y
7314,9969540,UAT-MC-2,ALTO IMPACTO,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,ROBO A REPARTIDOR CON VIOLENCIA,14/05/2025,JOSE MARIA MORELOS Y PAVON,RIO MAGDALENA,LA CONCEPCIÓN,LA MAGDALENA CONTRERAS,MC-2,-99.23366681,19.30262468
7315,9969541,UAT-GAM-5,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,12/05/2025,CAMINO DEL ESFUERZO,CAMINO DE LA ENSEÑANZA,CAMPESTRE ARAGÓN,GUSTAVO A MADERO,GAM-5,-99.0795444,19.48286351
7316,9969554,UAT-TLH-2,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,08/05/2025,AVENIDA TLAHUAC TULYEHUALCO,NO SE ESPECIFICA,LOS REYES,TLAHUAC,TLH-2,-99.00792003,19.26382147
7317,9969567,VC-3,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,14/05/2025,SUR 81,NIVEL,LORENZO BOTURINI,VENUSTIANO CARRANZA,VC-3,-99.1232577,19.41535656
7318,9969573,IZP-4,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,13/05/2025,CALZADA ERMITA IZTAPALAPA,NO SE ESPECIFICA,CONSTITUCIÓN DE 1917,IZTAPALAPA,IZP-4,-99.06603545,19.3471623
7319,9969593,COY-4,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,14/05/2025,SANTA ANA,NO SE ESPECIFICA,CULHUACÁN CTM SECCIÓN VI,COYOACAN,COY-5,-99.11197901,19.32805156
7320,9969627,UAT-IZC-2,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,14/05/2025,PLUTARCO ELIAS CALLES,SIN REGISTRO,LOS REYES,IZTACALCO,IZC-1,-99.11702031,19.39821723
7321,9969638,IZP-8,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,14/05/2025,GUADALUPE VICTORIA,SIN REGISTRO,GUADALUPE DEL MORAL,IZTAPALAPA,IZP-4,-99.07035354,19.37261383
7322,9969650,AEJPA,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,14/05/2025,FRANCISCO PEÑALOZA,LA TRAVIATA,MIGUEL HIDALGO,TLAHUAC,TLH-1,-99.04357249,19.29221523
7323,9969662,AO-2,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,14/05/2025,AVENIDA ALTA TENSION,ROSA CHINA,AMPLIACION MOLINO DE ROSAS,ALVARO OBREGON,AO-1,-99.20381007,19.37065904
7324,9969668,AEJPA,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,14/05/2025,ALFONSO TORO,SIN REGISTRO,SECTOR POPULAR,IZTAPALAPA,IZP-1,-99.11781509,19.36787814
